Iteration,Row,Col,Value,Policy
6,1,3,-5.217031,UP
6,1,4,-5.217031,UP
6,1,6,-5.217031,UP
6,1,7,-5.217031,UP
6,1,8,-5.217031,UP
6,1,9,-5.217031,UP
6,2,0,-5.217031,UP
6,2,1,-5.217031,UP
6,2,2,-5.217031,UP
6,2,3,-5.217031,UP
6,2,4,-5.217031,UP
6,2,5,-5.217031,DOWN
6,2,6,-5.217031,UP
6,2,7,-5.217031,UP
6,2,8,-5.217031,UP
6,2,9,0.0973790000000001,DOWN
6,3,0,-5.217031,UP
6,3,1,-5.217031,UP
6,3,2,-5.217031,UP
6,3,5,-5.217031,UP
6,3,6,-5.217031,UP
6,3,7,-5.217031,UP
6,3,8,0.0973790000000001,DOWN
6,3,9,1.2193100000000001,DOWN
6,4,0,-5.217031,UP
6,4,1,-5.217031,UP
6,4,2,-5.217031,UP
6,4,4,-5.217031,RIGHT
6,4,5,-5.217031,UP
6,4,6,-5.217031,UP
6,4,7,0.0973790000000001,DOWN
6,4,8,1.2193100000000001,DOWN
6,4,9,2.4659,DOWN
6,5,6,0.0973790000000001,DOWN
6,5,7,1.2193100000000001,RIGHT
6,5,8,2.4659,DOWN
6,5,9,3.851,DOWN
6,6,0,-5.217031,DOWN
6,6,1,-5.217031,DOWN
6,6,2,-5.217031,LEFT
6,6,3,-5.217031,DOWN
6,6,4,-5.217031,DOWN
6,6,5,0.0973790000000001,DOWN
6,6,6,1.2193100000000001,DOWN
6,6,8,3.851,DOWN
6,6,9,5.39,DOWN
6,7,0,-5.217031,UP
6,7,1,-5.217031,UP
6,7,3,-5.217031,UP
6,7,4,0.0973790000000001,DOWN
6,7,5,1.2193100000000001,DOWN
6,7,6,2.4659,DOWN
6,7,7,3.851,DOWN
6,7,8,5.39,DOWN
6,7,9,7.1,DOWN
6,8,0,-5.217031,UP
6,8,1,-5.217031,UP
6,8,2,-5.217031,DOWN
6,8,3,0.0973790000000001,DOWN
6,8,4,1.2193100000000001,DOWN
6,8,5,2.4659,DOWN
6,8,6,3.851,DOWN
6,8,7,5.39,DOWN
6,8,8,7.1,DOWN
6,8,9,9.0,DOWN
6,9,0,-5.217031,UP
6,9,1,-5.217031,UP
6,9,2,0.0973790000000001,RIGHT
6,9,3,1.2193100000000001,RIGHT
6,9,4,2.4659,RIGHT
6,9,5,3.851,RIGHT
6,9,6,5.39,RIGHT
6,9,7,7.1,RIGHT
6,9,8,9.0,RIGHT
7,0,0,-5.6953279000000006,UP
7,0,1,-5.6953279000000006,UP
7,0,2,-5.6953279000000006,UP
7,0,3,-5.6953279000000006,UP
7,0,4,-5.6953279000000006,UP
7,0,6,-5.6953279000000006,UP
7,0,7,-5.6953279000000006,UP
7,0,8,-5.6953279000000006,UP
7,0,9,-5.6953279000000006,UP
7,1,0,-5.6953279000000006,UP
7,1,1,-5.6953279000000006,UP
7,1,2,-5.6953279000000006,UP
7,1,3,-5.6953279000000006,UP
7,1,4,-5.6953279000000006,UP
7,1,6,-5.6953279000000006,UP
7,1,7,-5.6953279000000006,UP
7,1,8,-5.6953279000000006,UP
7,1,9,-0.9123588999999999,DOWN
7,2,0,-5.6953279000000006,UP
7,2,1,-5.6953279000000006,UP
7,2,2,-5.6953279000000006,UP
7,2,3,-5.6953279000000006,UP
7,2,4,-5.6953279000000006,UP
7,2,5,-5.6953279000000006,DOWN
7,2,6,-5.6953279000000006,UP
